date,level,appr,R,tod,win50_20,win100_30,lv,conf,pen,press30,flow30,dvel15,flow3,res3,big3,vol3_rel,dtouch,fav60,fav90,thr60,held50,held100,broke20
2025-03-03,ASIAH,above,1,8,0,0,21021.25,0,37.5,-91.25,-956,128,-950,-61.0,-80,2.2787082649151613,-712,-13.25,-13.25,261.25,0,0,1
2025-03-03,ASIAL,above,1,26,0,0,20863.75,0,16.5,-210.25,-2467,-1312,-439,-76.5,-37,0.9163060427142282,-159,125.5,125.5,103.75,1,1,1
2025-03-03,LDNH,below,-1,3,1,1,21101.0,2,20.0,-10.5,-160,-441,-694,-62.25,-115,3.7682293121752246,-140,341.0,341.0,5.0,1,1,0
2025-03-03,LDNL,above,1,25,0,0,20888.0,0,20.75,-177.0,-2356,-1105,-391,-42.25,35,1.0144128440910896,-258,101.25,101.25,128.0,1,1,1
2025-03-03,ONH,below,-1,3,1,1,21101.0,2,20.0,-10.5,-160,-441,-694,-62.25,-115,3.7682293121752246,-140,341.0,341.0,5.0,1,1,0
2025-03-03,ONL,above,1,27,0,0,20837.75,0,11.5,-228.75,-2487,-1317,-404,-81.75,-48,1.0419155271087024,13,151.5,151.5,77.75,1,1,1
2025-03-03,PMH,below,-1,3,1,1,21101.0,2,20.0,-10.5,-160,-441,-694,-62.25,-115,3.7682293121752246,-140,341.0,341.0,5.0,1,1,0
2025-03-03,PML,above,1,19,0,0,20928.25,0,0.25,-143.5,-1884,-1943,-659,-46.0,-65,1.0062243128311121,-578,61.0,61.0,168.25,1,0,1
2025-03-04,ASIAH,below,-1,293,0,0,20592.0,1,25.25,-137.75,-625,724,344,-40.25,29,1.3499803929009653,-347,54.0,267.75,134.0,1,1,1
2025-03-04,ASIAL,below,-1,222,0,1,20466.25,1,22.5,-120.5,-220,-41,-180,-53.5,-39,1.7162001513022802,-136,115.25,115.25,122.0,1,1,1
2025-03-04,LDNH,below,-1,276,0,0,20566.25,1,3.5,-154.5,-1292,-1034,-59,-10.25,-20,1.0012493077289648,-52,34.0,34.0,89.25,0,0,1
2025-03-04,LDNL,above,1,1,0,0,20305.25,1,7.5,-41.25,93,169,-249,-30.75,-130,3.1631158639365555,-556,124.75,124.75,230.0,1,1,1
2025-03-04,ONH,below,-1,293,0,0,20592.0,1,25.25,-137.75,-625,724,344,-40.25,29,1.3499803929009653,-347,54.0,267.75,134.0,1,1,1
2025-03-04,ONL,above,1,2,1,1,20262.0,1,2.0,-101.75,-316,-475,-517,-71.0,-180,3.634023965527419,-241,168.0,168.0,186.75,1,1,1
2025-03-04,PDC,below,-1,222,0,1,20473.5,1,15.25,-120.5,-220,-41,-180,-53.5,-39,1.7162001513022802,-136,122.5,122.5,114.75,1,1,1
2025-03-04,PDEQ,below,-1,352,1,1,20718.875,0,4.875,-99.5,-494,-239,-234,-25.5,-106,1.2755210710482277,-118,394.625,394.625,13.625,1,1,0
2025-03-04,PMH,below,-1,276,0,0,20566.25,1,3.5,-154.5,-1292,-1034,-59,-10.25,-20,1.0012493077289648,-52,34.0,34.0,89.25,0,0,1
2025-03-04,PML,above,1,2,1,1,20262.0,1,2.0,-101.75,-316,-475,-517,-71.0,-180,3.634023965527419,-241,168.0,168.0,186.75,1,1,1
2025-03-05,ASIAH,below,-1,203,1,1,20567.75,0,2.25,-108.0,-106,224,-356,-59.75,-7,1.3603313924857332,-213,122.0,122.0,17.75,1,1,0
2025-03-05,ASIAL,below,-1,1,1,1,20440.5,1,5.5,-16.75,-20,141,169,11.5,75,3.973360602008443,-16,170.25,170.25,56.5,1,1,1
2025-03-05,LDNH,below,-1,276,0,0,20629.75,2,22.5,-139.0,-607,-506,-16,-43.25,147,1.5902774506571198,-51,30.5,30.5,89.0,0,0,1
2025-03-05,LDNL,below,-1,1,1,1,20441.0,1,5.0,-16.75,-20,141,169,11.5,75,3.973360602008443,-16,170.75,170.75,56.0,1,1,1
2025-03-05,ONH,below,-1,276,0,0,20629.75,2,22.5,-139.0,-607,-506,-16,-43.25,147,1.5902774506571198,-51,30.5,30.5,89.0,0,0,1
2025-03-05,ONL,above,1,6,0,0,20379.5,1,36.0,-40.25,20,66,-127,-42.0,-52,2.2788972262035245,-307,117.5,117.5,109.25,1,1,1
2025-03-05,PDC,above,1,2,0,0,20396.75,1,8.25,-1.0,147,-60,34,-23.25,-54,4.354194691777167,125,100.25,100.25,126.5,1,1,1
2025-03-05,PMH,below,-1,276,0,0,20629.75,2,22.5,-139.0,-607,-506,-16,-43.25,147,1.5902774506571198,-51,30.5,30.5,89.0,0,0,1
2025-03-05,PML,above,1,6,0,0,20379.5,1,36.0,-40.25,20,66,-127,-42.0,-52,2.2788972262035245,-307,117.5,117.5,109.25,1,1,1
2025-03-06,LDNL,below,-1,33,0,0,20352.75,0,11.25,-73.0,-1397,-683,-820,-57.0,-227,1.2939074534745552,-698,-1.25,3.75,160.5,0,0,1
2025-03-06,PDEQ,below,-1,51,1,0,20470.0,0,0.75,-140.5,-2588,-1080,-131,-38.5,-27,0.6769593506994038,-116,85.0,192.5,43.25,1,1,1
2025-03-06,PDL,above,1,153,0,0,20215.0,0,11.5,-190.25,-2917,-1375,-565,-39.75,-133,1.5699967230527587,-479,16.75,16.75,126.75,0,0,1
2025-03-06,PMH,below,-1,69,0,1,20486.0,0,15.5,-90.25,-802,271,-634,-55.75,-209,1.0686952512678654,-450,143.25,328.25,27.25,1,1,1
2025-03-07,ASIAH,below,-1,22,0,1,20220.0,1,8.5,-148.5,-2077,-1484,-282,-19.75,-98,0.9026307313830697,-226,332.25,332.25,22.0,1,1,1
2025-03-07,ASIAL,below,-1,5,1,0,20111.5,0,15.0,-11.25,305,-151,-484,-35.5,-70,2.359386301032578,-256,186.5,223.75,130.5,1,1,1
2025-03-07,LDNH,below,-1,22,1,1,20228.0,1,0.5,-148.5,-2077,-1484,-282,-19.75,-98,0.9026307313830697,-226,340.25,340.25,14.0,1,1,0
2025-03-07,LDNL,below,-1,3,0,0,20092.0,1,3.0,-14.0,724,82,-259,-24.5,-28,2.833505687693899,-99,167.0,204.25,150.0,1,1,1
