date,tf,dir,sess,tform,gap,gap_atr,c2_range,c2_body,c1_range,c3_range,c2_vol,c2_vol_rel,vwap_dist,vwap_side,pctB,tapped,ttt,tapvol_rel,n_in,n_inv,n_out,mv_away,went_through
2026-01-02,15,1,london,209,36.25,,56.0,51.25,16.0,21.75,3422,,-0.667802808653505,-1,,1,1.0,1.067496409765438,22,348,380,57.0,0.0
2026-01-02,15,1,london,254,9.25,,27.75,17.25,20.0,35.25,2021,,18.933478924023802,1,,1,168.0,6.724137931034483,77,436,192,11.25,1.0
2026-01-02,15,1,london,374,6.0,0.27495908346972175,14.5,8.25,16.0,13.25,783,,28.26694815600058,1,,1,3.0,1.3751868460388639,20,542,23,1.25,1.0
2026-01-02,15,-1,london,404,0.5,0.02616822429906542,22.25,17.25,13.25,11.75,1033,,29.240751366138284,-1,,1,2.0,1.402061855670103,0,20,535,47.25,0.0
2026-01-02,15,-1,premkt,449,14.75,0.7598896044158234,47.25,34.5,12.75,13.75,3057,2.2160202972091336,8.838983122659556,-1,0.5017097462031724,1,2.0,0.8124253285543608,22,21,467,15.25,0.0
2026-01-02,15,-1,ny_am,629,82.75,1.4958037443511945,186.5,129.75,114.5,149.25,29139,4.587807412538968,-19.830992376355425,1,0.30601204667734466,0,,,0,0,330,,
2026-01-02,15,-1,ny_am,674,86.5,1.0505313381045327,233.0,207.0,136.5,87.75,32179,2.945365344658728,-172.97032365434643,1,-0.011554053711115916,1,1.0,1.054005934718101,127,0,158,92.25,0.0
2026-01-02,15,-1,ny_pm,794,8.75,0.08663366336633663,73.75,48.75,39.75,39.25,14041,0.8390826921640397,-174.49787833536539,1,0.2603960436836814,1,7.0,1.3092898042902317,3,110,52,97.0,1.0
2026-01-02,15,1,ny_pm,869,12.25,0.18376640771497454,105.75,91.75,86.5,56.0,11701,0.6277478386128494,-150.34564843805492,-1,0.36806954180631496,1,86.0,2.8602191399075303,0,0,90,26.5,0.0
2026-01-02,15,1,ny_pm,884,15.5,0.243069168300196,56.0,25.25,105.75,47.25,9836,0.521975397743555,-104.46110867325115,-1,0.4773874376500969,1,10.0,1.3789919199692189,14,15,46,31.5,1.0
2026-01-02,5,-1,london,139,3.0,,8.0,7.5,5.25,8.25,228,,-0.18650075414552703,1,,1,5.0,2.0620620620620618,6,454,360,9.0,1.0
2026-01-02,5,-1,london,174,6.5,,11.5,10.75,5.25,5.0,245,,0.35349570585094625,-1,,1,1.0,2.5714285714285716,2,435,348,2.25,1.0
2026-01-02,5,1,london,184,5.0,,12.75,6.75,5.0,19.5,414,,-3.9107541276134725,-1,,1,428.0,2.3134253534307008,0,348,427,40.25,1.0
2026-01-02,5,1,london,189,7.25,0.26193548387096777,19.5,12.75,12.75,14.0,837,,5.2480631249600265,1,,1,391.0,1.3008518905993125,1,348,421,158.75,1.0
2026-01-02,5,1,london,194,4.25,0.37837837837837834,14.0,12.25,19.5,32.25,632,,7.149657173002197,1,,1,378.0,5.048638727439584,2,351,412,133.25,1.0
2026-01-02,5,1,london,199,20.75,1.815625,32.25,26.0,14.0,8.0,1953,,19.484498617868667,1,,1,5.0,0.784027270513757,30,354,376,55.25,0.0
2026-01-02,5,1,london,234,3.25,0.21336459554513482,12.75,7.5,13.75,19.25,579,1.1861108265901874,27.13950718353226,1,0.8003605256823582,1,190.0,2.9515669515669516,37,436,252,5.5,1.0
2026-01-02,5,1,london,239,4.5,0.2992874109263658,19.25,12.75,12.75,9.0,1094,2.0585191457333707,34.00291205175017,1,0.828377276775824,1,1.0,2.357479639948564,12,503,205,31.0,0.0
2026-01-02,5,-1,london,329,5.75,0.5143769968051118,16.5,12.5,10.75,7.5,418,0.8489033306255077,28.601983246800955,-1,0.41824814746317024,1,12.0,1.3484740951029097,25,66,539,5.25,1.0
2026-01-02,5,1,london,349,3.75,0.3442622950819672,7.25,5.5,10.5,14.25,270,0.6674082313681868,24.43540772364213,1,0.2985371976734903,1,31.0,0.5680317040951123,9,524,77,6.75,1.0
2026-01-02,5,1,london,354,6.5,0.5918699186991869,14.25,13.0,7.25,6.5,395,1.0112647209421401,30.732234689112374,1,0.5346914857050904,1,2.0,0.8969465648854962,21,542,42,11.5,1.0
2026-01-02,5,-1,london,384,6.25,0.6306306306306306,13.75,11.75,5.5,7.5,424,1.2662386143049125,29.820469990307174,-1,0.5797647854462843,1,11.0,2.040498442367601,13,20,542,44.5,0.0
2026-01-02,5,-1,london,389,0.25,0.02568807339449541,7.5,1.25,13.75,8.25,247,0.7438638759223009,23.043831716597197,-1,0.38631485225808415,1,2.0,0.8373590982286634,3,40,527,42.25,1.0
2026-01-02,5,-1,premkt,429,10.25,0.9778534923339012,31.25,23.75,12.0,13.75,1153,3.350770124963673,10.265631406324246,-1,0.2357316896294325,1,58.0,2.486111111111111,3,21,506,25.5,0.0
2026-01-02,5,-1,premkt,434,1.0,0.09427609427609428,13.75,8.25,31.25,15.0,473,1.352974828375286,-4.977105449390365,1,-0.026063150855357552,1,1.0,1.4555873925501432,7,95,423,13.25,1.0
2026-01-02,5,1,premkt,469,2.0,0.16842105263157894,17.0,9.0,8.5,7.0,295,0.6988037427454696,-3.172549464059557,-1,0.2775738590679698,1,1.0,1.0480349344978166,17,412,61,9.75,1.0
