date,side,entry_time,entry,stop,target,exit,exit_time,result,pts,R,risk,ebar,xbar
2026-01-02,short,10:05,25699.5,25807.75,25444.5,25444.5,10:50,win,253.0,2.34,108.2,7,16
2026-01-05,long,10:00,25634.5,25534.5,25803.75,25586.75,15:55,timeout,-49.8,-0.5,100.0,6,77
2026-01-06,short,10:05,25738.0,25776.75,25538.5,25776.75,10:25,loss,-40.8,-1.05,38.8,7,11
2026-01-07,short,10:00,25842.0,25884.0,25608.0,25884.0,10:30,loss,-44.0,-1.05,42.0,6,12
2026-01-08,long,10:05,25678.5,25565.0,25996.25,25682.5,15:55,timeout,2.0,0.02,113.5,7,77
2026-01-09,short,10:05,25642.25,25794.25,25569.0,25794.25,10:20,loss,-154.0,-1.01,152.0,7,10
2026-01-12,short,10:00,25877.0,25928.0,25615.5,25928.0,10:20,loss,-53.0,-1.04,51.0,6,10
2026-01-13,short,10:00,25929.5,26046.75,25743.5,25903.75,15:55,timeout,23.8,0.2,117.2,6,77
2026-01-14,long,10:05,25589.5,25526.5,26042.75,25526.5,10:45,loss,-65.0,-1.03,63.0,7,15
2026-01-15,short,10:25,25862.75,25919.75,25420.75,25919.75,10:35,loss,-59.0,-1.04,57.0,11,13
2026-01-16,long,10:05,25755.25,25707.0,25952.75,25707.0,10:15,loss,-50.2,-1.04,48.2,7,9
2026-01-19,long,10:00,25335.0,25283.0,25891.0,25398.25,12:55,timeout,61.2,1.18,52.0,6,41
2026-01-20,long,10:20,25322.5,25250.75,25417.25,25417.25,11:10,win,92.8,1.29,71.8,10,20
2026-01-21,long,10:15,25348.0,25290.75,25429.75,25429.75,10:35,win,79.8,1.39,57.2,9,13
2026-01-22,short,10:50,25617.5,25662.75,25127.5,25662.75,11:15,loss,-47.2,-1.04,45.2,16,21
2026-01-23,short,11:25,25791.5,25849.75,25536.75,25735.0,15:55,timeout,54.5,0.94,58.2,23,77
2026-01-26,short,10:05,25823.25,25857.5,25562.5,25857.5,10:15,loss,-36.2,-1.06,34.2,7,9
2026-01-27,short,10:25,26043.0,26078.75,25704.25,26078.75,10:35,loss,-37.8,-1.06,35.8,11,13
2026-01-28,short,10:10,26216.25,26305.0,25917.25,26149.25,15:55,timeout,65.0,0.73,88.8,8,77
2026-01-29,long,10:20,25792.0,25714.25,26301.0,25714.25,10:30,loss,-79.8,-1.03,77.8,10,12
2026-01-30,long,10:05,25888.5,25802.25,26175.0,25802.25,10:25,loss,-88.2,-1.02,86.2,7,11
2026-02-02,long,10:00,25797.0,25724.5,25940.0,25940.0,12:55,win,141.0,1.94,72.5,6,41
2026-02-04,long,10:05,25239.0,25104.0,25952.25,25104.0,11:00,loss,-137.0,-1.01,135.0,7,18
2026-02-05,long,10:35,24665.75,24546.0,25390.0,24546.0,11:10,loss,-121.8,-1.02,119.8,13,20
2026-02-06,short,10:00,24802.25,24988.0,24543.25,24988.0,11:05,loss,-187.8,-1.01,185.8,6,19
2026-02-09,long,10:00,25162.75,25088.25,25222.0,25222.0,10:15,win,57.2,0.77,74.5,6,9
2026-02-10,short,10:10,25390.5,25451.25,24955.5,25219.75,15:55,timeout,168.8,2.78,60.8,8,77
2026-02-11,short,10:00,25283.5,25400.5,25198.25,25198.25,10:10,win,83.2,0.71,117.0,6,8
2026-02-12,short,10:30,25177.0,25264.25,25058.25,25058.25,10:50,win,116.8,1.34,87.2,12,16
2026-02-13,long,10:05,24803.0,24677.0,25392.5,24802.0,15:55,timeout,-3.0,-0.02,126.0,7,77
2026-02-16,long,10:00,24787.0,24749.25,24995.5,24749.25,10:15,loss,-39.8,-1.05,37.8,6,9
2026-02-18,short,10:30,25023.0,25078.0,24449.25,25078.0,10:40,loss,-57.0,-1.04,55.0,12,14
2026-02-19,long,10:00,24924.75,24844.25,25128.25,24844.25,11:40,loss,-82.5,-1.02,80.5,6,26
2026-02-23,short,10:00,24866.5,24969.25,24678.5,24678.5,11:05,win,186.0,1.81,102.8,6,19
2026-02-24,short,10:00,24841.25,24968.25,24668.0,24968.25,10:25,loss,-129.0,-1.02,127.0,6,11
2026-02-25,short,10:05,25318.0,25365.75,24694.5,25365.75,14:00,loss,-49.8,-1.04,47.8,7,54
2026-02-26,long,10:35,24975.25,24857.75,25396.5,25083.0,15:55,timeout,105.8,0.9,117.5,13,77
2026-02-27,long,10:00,24921.75,24812.25,25342.0,24998.5,15:55,timeout,74.8,0.68,109.5,6,77
2026-03-02,long,10:00,24888.5,24798.0,25036.75,25036.75,11:45,win,146.2,1.62,90.5,6,27
2026-03-03,long,10:30,24405.25,24348.0,25101.0,24757.25,15:55,timeout,350.0,6.11,57.2,12,77
2026-03-04,short,10:35,25082.25,25152.5,24352.0,25152.5,11:00,loss,-72.2,-1.03,70.2,13,18
2026-03-05,short,10:05,25145.5,25213.75,24826.0,24826.0,12:45,win,317.5,4.65,68.2,7,39
2026-03-06,long,10:00,24764.25,24629.0,25209.75,24629.0,15:30,loss,-137.2,-1.01,135.2,6,72
2026-03-09,long,10:00,24468.75,24309.0,24926.25,24926.25,15:25,win,455.5,2.85,159.8,6,71
2026-03-10,short,10:05,24902.0,25002.0,24313.0,25002.0,10:25,loss,-102.0,-1.02,100.0,7,11
2026-03-11,long,10:00,25121.5,25011.25,25217.5,25011.25,10:25,loss,-112.2,-1.02,110.2,6,11
2026-03-12,long,10:00,24719.0,24626.5,25180.0,24626.5,10:25,loss,-94.5,-1.02,92.5,6,11
2026-03-13,short,10:00,24711.5,24809.25,24542.75,24542.75,10:50,win,166.8,1.71,97.8,6,16
2026-03-16,short,10:25,24933.25,24984.0,24350.5,24984.0,15:05,loss,-52.8,-1.04,50.8,11,67
2026-03-17,short,10:00,25065.75,25121.0,24832.25,25010.0,15:55,timeout,53.8,0.97,55.2,6,77
2026-03-18,long,10:55,24882.25,24807.75,25117.0,24807.75,13:10,loss,-76.5,-1.03,74.5,17,44
2026-03-19,long,10:30,24515.75,24403.25,24998.25,24403.25,11:35,loss,-114.5,-1.02,112.5,12,25
2026-03-20,long,10:30,24314.75,24236.5,24691.5,24236.5,10:50,loss,-80.2,-1.03,78.2,12,16
2026-03-23,short,11:15,24637.5,24694.0,23971.25,24398.75,15:55,timeout,236.8,4.19,56.5,21,77
